Horanum, Temperatura exterior
0.0,25.0
0.016666666666666666,25.3
0.08333333333333333,25.0
0.1,25.3
0.16666666666666666,25.0
0.18333333333333332,25.3
0.25,25.0
0.26666666666666666,25.4
0.3333333333333333,25.0
0.35,25.4
0.4166666666666667,25.0
0.43333333333333335,25.5
0.5,25.0
0.5166666666666667,25.6
0.5833333333333334,25.0
0.6,25.6
0.6666666666666666,25.0
0.6833333333333333,25.4
0.75,25.0
0.7666666666666667,25.3
0.8333333333333334,25.0
0.85,25.1
0.9166666666666666,25.0
0.9333333333333333,24.9
1.0,25.1
1.0166666666666666,24.7
1.0833333333333333,25.1
1.1,24.3
1.1666666666666667,25.0
1.1833333333333333,24.0
1.25,25.1
1.2666666666666666,24.0
1.3333333333333333,25.1
1.35,23.9
1.4166666666666667,25.2
1.4333333333333333,23.9
1.5,25.1
1.5166666666666666,23.7
1.5833333333333335,25.1
1.6,23.7
1.6666666666666665,25.0
1.6833333333333333,23.7
1.75,25.0
1.7666666666666666,23.6
1.8333333333333335,25.0
1.85,23.6
1.9166666666666665,25.0
1.9333333333333333,23.6
2.0,25.0
2.0166666666666666,23.6
2.0833333333333335,25.0
2.1,23.6
2.1666666666666665,25.0
2.183333333333333,23.6
2.25,25.0
2.2666666666666666,23.6
2.3333333333333335,25.0
2.35,23.6
2.4166666666666665,25.0
2.4333333333333336,23.6
2.5,25.0
2.5166666666666666,23.6
2.5833333333333335,25.0
2.6,23.6
2.6666666666666665,25.0
2.6833333333333336,23.6
2.75,25.0
2.7666666666666666,23.6
2.8333333333333335,25.0
2.85,23.6
2.9166666666666665,25.0
2.9333333333333336,23.6
3.0,25.0
3.0166666666666666,23.6
3.0833333333333335,25.0
3.1,22.7
3.1666666666666665,25.0
3.183333333333333,23.6
3.25,25.0
3.2666666666666666,23.6
3.3333333333333335,25.0
3.35,23.6
3.4166666666666665,25.0
3.4333333333333336,23.7
3.5,25.0
3.5166666666666666,23.9
3.5833333333333335,25.0
3.6,24.0
3.6666666666666665,25.0
3.6833333333333336,24.2
3.75,25.0
3.7666666666666666,24.6
3.8333333333333335,25.0
3.85,24.7
3.9166666666666665,25.0
3.9333333333333336,24.9
4.0,24.9
4.016666666666667,24.9
4.083333333333333,24.9
4.1,25.0
4.166666666666667,24.9
4.183333333333334,25.0
4.25,24.9
4.266666666666667,25.1
4.333333333333333,24.9
4.35,25.1
4.416666666666667,24.9
4.433333333333334,25.3
4.5,24.9
4.516666666666667,25.3
4.583333333333333,24.9
4.6,25.1
4.666666666666667,24.8
4.683333333333334,25.0
4.75,24.8
4.766666666666667,24.8
4.833333333333333,24.8
4.85,24.2
4.916666666666667,24.8
4.933333333333334,24.2
5.0,24.8
5.016666666666667,24.0
5.083333333333333,24.8
5.1,23.9
5.166666666666667,24.8
5.183333333333334,23.8
5.25,24.8
5.266666666666667,23.7
5.333333333333333,24.8
5.35,23.7
5.416666666666667,24.8
5.433333333333334,23.7
5.5,24.8
5.516666666666667,23.7
5.583333333333333,24.6
5.6,23.7
5.666666666666667,24.6
5.683333333333334,23.6
5.75,24.6
5.766666666666667,23.7
5.833333333333333,24.6
5.85,23.8
5.916666666666667,24.6
5.933333333333334,24.0
6.0,24.6
6.016666666666667,24.2
6.083333333333333,24.6
6.1,24.6
6.166666666666667,24.6
6.183333333333334,24.6
6.25,24.6
6.266666666666667,24.6
6.333333333333333,24.6
6.35,24.2
6.416666666666667,24.6
